Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,77.879997,77.879997,76.790001,77.169998,75.728729,563000
2021-06-25,77.040001,78.989998,76.570000,78.849998,77.377342,1797000
2021-06-28,79.000000,79.190002,77.870003,78.080002,76.621735,606200
2021-06-29,77.820000,78.150002,77.269997,77.669998,76.572441,525000
2021-06-30,77.669998,77.739998,76.930000,77.360001,76.266815,770800
2021-07-01,77.589996,79.400002,77.410004,78.959999,77.844208,837300
2021-07-02,79.190002,79.190002,78.279999,78.400002,77.292130,368800
2021-07-06,78.139999,78.400002,77.120003,77.930000,76.828766,777600
2021-07-07,78.260002,78.730003,77.769997,78.519997,77.410431,446500
2021-07-08,77.760002,78.839996,77.620003,78.110001,77.006226,480200
2021-07-09,78.239998,79.500000,78.239998,79.459999,78.337143,512800
2021-07-12,79.410004,79.669998,78.449997,78.660004,77.548447,335100
2021-07-13,78.500000,78.879997,78.169998,78.300003,77.193535,363100
2021-07-14,78.599998,79.099998,78.330002,78.779999,77.666748,249500
2021-07-15,78.599998,79.000000,78.230003,78.589996,77.479431,362700
2021-07-16,78.790001,79.230003,78.519997,78.760002,77.647034,421600
2021-07-19,78.040001,78.660004,76.769997,76.980003,75.892197,476500
2021-07-20,77.180000,78.629997,76.889999,77.889999,76.789330,344600
2021-07-21,77.910004,78.430000,77.410004,77.809998,76.710457,445300
2021-07-22,77.930000,77.930000,76.849998,77.190002,76.099220,790500
2021-07-23,77.139999,78.080002,77.010002,77.889999,76.789330,273200
2021-07-26,78.000000,78.379997,77.820000,77.970001,76.868202,265500
2021-07-27,77.639999,78.260002,76.620003,77.059998,75.971054,401000
2021-07-28,77.290001,77.790001,76.250000,77.320000,76.227386,1386200
2021-07-29,77.699997,78.139999,77.029999,77.110001,76.020348,658400
2021-07-30,76.860001,77.510002,76.650002,77.110001,76.020348,466600
2021-08-02,77.059998,77.800003,76.610001,76.669998,75.586571,448600
2021-08-03,76.660004,76.870003,76.050003,76.300003,75.221802,640300
2021-08-04,76.239998,76.360001,75.019997,75.129997,74.068329,469600
2021-08-05,77.959999,78.110001,75.059998,76.050003,74.975334,547900
2021-08-06,76.279999,76.589996,75.930000,76.220001,75.142929,317900
2021-08-09,76.080002,76.220001,75.290001,75.639999,74.571121,405600
2021-08-10,75.779999,76.510002,75.709999,76.370003,75.290810,454700
2021-08-11,76.269997,76.680000,75.400002,75.599998,74.531693,504300
2021-08-12,75.599998,76.699997,75.510002,76.639999,75.556992,276100
2021-08-13,76.949997,78.860001,76.690002,78.199997,77.094940,548500
2021-08-16,78.000000,79.250000,77.949997,78.709999,77.597733,503500
2021-08-17,78.370003,78.529999,77.300003,77.629997,76.533005,242100
2021-08-18,77.400002,78.279999,76.940002,77.029999,75.941483,405900
2021-08-19,76.639999,77.889999,76.589996,77.660004,76.562584,563600
2021-08-20,77.540001,78.790001,76.830002,78.000000,76.897774,1147400
2021-08-23,78.269997,78.570000,77.559998,77.730003,76.631592,363100
2021-08-24,77.839996,78.050003,77.309998,77.410004,76.316116,328000
2021-08-25,77.320000,77.660004,76.970001,77.230003,76.138657,532100
2021-08-26,77.360001,77.400002,76.190002,76.260002,75.182365,349200
2021-08-27,76.180000,77.250000,76.180000,77.099998,76.010498,571200
2021-08-30,77.260002,77.559998,76.580002,76.730003,75.645729,472700
2021-08-31,76.870003,77.470001,76.599998,77.029999,75.941483,540500
2021-09-01,77.139999,77.620003,76.989998,77.260002,76.168236,453900
2021-09-02,77.250000,78.120003,77.250000,78.089996,76.986496,338500
2021-09-03,78.410004,78.830002,78.150002,78.309998,77.203392,579800
2021-09-07,77.629997,78.489998,77.379997,77.940002,76.838623,441500
2021-09-08,77.800003,79.029999,77.430000,78.730003,77.617462,426100
